soc2d_code,soc6_count,employment2025_sum,ilo_exposure_mean_weighted,observed_exposure_weighted,HumanMoat_seed_equal_weight_weighted,Physicality_weighted,Judgment_weighted,Interaction_weighted,Responsibility_weighted,Context_weighted,soc2d_name,employment_common_2022_n,employment_common_2022_start,employment_common_2022_end,employment_common_2022_total_pct,employment_common_2022_annualized_pct,postings_common_2022_n,postings_common_2022_start,postings_common_2022_end,postings_common_2022_total_pct,postings_common_2022_annualized_pct,salary_common_2022_n,salary_common_2022_start,salary_common_2022_end,salary_common_2022_total_pct,salary_common_2022_annualized_pct,rl_hiring_rate_common_2022_mean,rl_attrition_rate_common_2022_mean,net_hiring_rate_common_2022_mean,employment_post_chatgpt_2023_n,employment_post_chatgpt_2023_start,employment_post_chatgpt_2023_end,employment_post_chatgpt_2023_total_pct,employment_post_chatgpt_2023_annualized_pct,postings_post_chatgpt_2023_n,postings_post_chatgpt_2023_start,postings_post_chatgpt_2023_end,postings_post_chatgpt_2023_total_pct,postings_post_chatgpt_2023_annualized_pct,salary_post_chatgpt_2023_n,salary_post_chatgpt_2023_start,salary_post_chatgpt_2023_end,salary_post_chatgpt_2023_total_pct,salary_post_chatgpt_2023_annualized_pct,rl_hiring_rate_post_chatgpt_2023_mean,rl_attrition_rate_post_chatgpt_2023_mean,net_hiring_rate_post_chatgpt_2023_mean,employment_recent_2024_n,employment_recent_2024_start,employment_recent_2024_end,employment_recent_2024_total_pct,employment_recent_2024_annualized_pct,postings_recent_2024_n,postings_recent_2024_start,postings_recent_2024_end,postings_recent_2024_total_pct,postings_recent_2024_annualized_pct,salary_recent_2024_n,salary_recent_2024_start,salary_recent_2024_end,salary_recent_2024_total_pct,salary_recent_2024_annualized_pct,rl_hiring_rate_recent_2024_mean,rl_attrition_rate_recent_2024_mean,net_hiring_rate_recent_2024_mean
11,38,13669.999999999998,0.37441104656711804,0.11929272454181557,62.99810712396353,34.58641629791822,73.47748440755635,74.80240149785979,59.11280761886909,73.01142579761417,Management,56,20613987.0,21272477.0,3.194384473027956,0.4935269665206521,56,2810772.2162810103,1814567.5126591537,-35.44238476001287,-10.241352757766409,56,71264.0,103374.0,45.057813201616526,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208,44,21180688.0,21272477.0,0.4333617491556474,-0.021268695946730087,44,2409591.5607804847,1814567.5126591537,-24.693979585843095,-5.639384524448287,44,76694.0,103374.0,34.78759746525153,8.617389539207764,0.30298128233638744,0.301412959974809,0.0015683223615784447,32,21421569.0,21272477.0,-0.695990102312305,-0.4828911932484581,32,1870740.5261042293,1814567.5126591537,-3.002715377212384,1.4348690162138578,32,83903.0,103374.0,23.206559956139827,8.18622763578658,0.29742461088453687,0.29970380232262694,-0.002279191438090078
13,35,10783.999999999998,0.4762612356840749,0.2874636861822347,43.494640231940714,17.06979164803955,53.845110149763734,50.597431629284685,45.07422824784018,50.886639484775394,Business and Financial Operations,56,8896585.0,9938630.0,11.712865104981285,2.060955180595858,56,1790734.8454554712,987108.77479539,-44.87688798258013,-13.625662371958791,56,72236.0,96558.0,33.670192147959476,7.098096972233492,0.35432201469571833,0.32950922859613474,0.024812786099583595,44,9337139.0,9938630.0,6.441919735799151,1.6514554633369372,44,1529791.5092365444,987108.77479539,-35.47429379523651,-8.211361643722926,44,76904.0,96558.0,25.55653802142932,6.232991679747624,0.3357602293584357,0.31817573230891977,0.017584497049515924,32,9533819.0,9938630.0,4.246052919611754,1.4666317553478025,32,1088291.6454471825,987108.77479539,-9.297403970258,-1.8276160677166087,32,85339.0,96558.0,13.146392622364921,4.358588431700183,0.3305486480719846,0.31429554615561694,0.01625310191636764
15,21,5493.800000000001,0.5140716043621251,0.3541569187083621,33.62412926696154,17.5191183150185,48.79945847599175,32.01791879232067,36.30537593762738,33.4787748138494,Computer and Mathematical,56,8740428.0,9493715.0,8.61842234728094,1.66092626308032,56,3107576.0807877555,1775974.441504813,-42.850170186191804,-15.612697664769403,56,103381.0,125745.0,21.63260173532855,4.588659068365475,0.33228532105509395,0.3136035163956414,0.018681804659452572,44,9167497.0,9493715.0,3.5584194900745603,0.9325134021501258,44,2432387.2446011626,1775974.441504813,-26.986361014402593,-4.912439939000346,44,108315.0,125745.0,16.09195402298851,4.493387803539406,0.31040655387400723,0.30012396610035763,0.010282587773649599,32,9388616.0,9493715.0,1.1194301694733344,0.25032824201969284,32,1309859.236700646,1775974.441504813,35.58513707001423,8.262614065725927,32,112316.0,125745.0,11.956444317817594,3.2124858462045713,0.2988079853777432,0.2940711219435316,0.004736863434211647
17,36,2690.2000000000007,0.3335250662420507,0.044554048156508645,44.516520999825595,35.65290746649066,52.08803019629701,45.90159490614879,47.80171796936712,41.138354460824374,Architecture and Engineering,56,4172491.0,4903711.0,17.524783157111656,3.35740206557531,56,741131.1056181596,667198.551235357,-9.9756377545559,-8.839928348134773,56,87270.0,112933.0,29.406439784576598,5.068777767152821,0.296180566598106,0.26077336215010477,0.03540720444800122,44,4381781.0,4903711.0,11.911366633795705,3.0040152765141714,44,849395.4098026031,667198.551235357,-21.450181677999424,-7.058014453091888,44,94343.0,112933.0,19.704694571934333,4.20780654931896,0.28553551001244154,0.2538716382497322,0.03166387176270935,32,4546466.0,4903711.0,7.857641517609504,2.732081429089095,32,666609.8086455297,667198.551235357,0.08831892093270621,-0.4755044836578737,32,99338.0,112933.0,13.685598663150046,3.6394676500924428,0.281088973931315,0.25162747135616154,0.029461502575153453
19,48,1628.5,0.36651629953149556,0.09678936630602783,44.87558234285367,38.12607222240131,49.73426472448387,45.03495634952277,47.20236408745138,44.28025433040898,"Life, Physical, and Social Science",56,3003224.0,3421029.0,13.911882696728583,2.8500406957227,56,431190.2177685971,384272.8911716285,-10.880888448667758,-6.688470743153097,56,62890.0,84680.0,34.64779774208937,6.79324611739951,0.3782292474388565,0.3492525285039954,0.02897671893486109,44,3157087.0,3421029.0,8.360301759184964,2.132139268910249,44,473963.2623709088,384272.8911716285,-18.92348591547407,-7.642193747127024,44,63924.0,84680.0,32.46980789687755,6.354103383877163,0.3605033981658485,0.3376399662816102,0.022863431884238283,32,3289451.0,3421029.0,3.9999987839916207,1.1783186487649422,32,396452.9119537698,384272.8911716285,-3.0722490401487113,-2.7838077674350536,32,71143.0,84680.0,19.027873438005138,6.385217147231681,0.3439926208636344,0.3280072075572992,0.01598541330633524
21,18,2736.7000000000003,0.28102851326784123,0.052694002355316294,57.15398241866151,28.264541040195134,58.72517505745785,80.89951604658481,50.31637905116617,67.56430089790355,Community and Social Service,56,3599243.0,4104761.0,14.045120043297988,2.888424051233285,56,487469.3705975472,386985.01883776457,-20.613469854856202,-7.170847351176334,56,57423.0,74799.0,30.259652055796458,5.944112501530996,0.3387425554991285,0.30987876880337645,0.02886378669575207,44,3759351.0,4104761.0,9.188022081470981,2.310637666713933,44,550120.5604536993,386985.01883776457,-29.65450727407688,-11.538391983772945,44,62088.0,74799.0,20.472555083107856,4.762394847532403,0.32278590012753383,0.297805861370986,0.024980038756547807,32,3914298.0,4104761.0,4.865827793387223,1.7061952700315297,32,523635.6636727616,386985.01883776457,-26.096512196387533,-11.473284204811707,32,66175.0,74799.0,13.032111824707226,4.336871311663293,0.30446196384764757,0.28568519327608166,0.018776770571565904
23,8,1445.8000000000002,0.37188106065845894,0.20235390513040985,59.06640324926902,19.027356847934715,70.51229272449706,59.749213381620585,76.51241364187086,69.53073965042192,Legal,56,1901522.0,2211606.0,16.307147642782983,3.164254413144274,56,147986.4775155508,137097.2498768715,-7.358258552735009,-0.28393116281840713,56,80868.0,134147.0,65.88390958104566,11.600499510608708,0.3021472041935816,0.2687587221214418,0.03338848207213979,44,1990026.0,2211606.0,11.134527890590373,2.7884290300062675,44,155407.8015754115,137097.2498768715,-11.782260293833968,-1.2670192651019874,44,89206.0,134147.0,50.37889828038473,10.598439880794498,0.2919656941385862,0.262308007238164,0.029657686900422198,32,2063832.0,2211606.0,7.160175828265092,2.370888350904088,32,156522.76277535982,137097.2498768715,-12.410663186649506,-5.44307477853172,32,104994.0,134147.0,27.766348553250666,9.457708216241944,0.2852509174307706,0.2582383896693601,0.0270125277614105
25,67,8185.2,0.3122623195182718,0.17806839978184566,46.087608249655524,31.611983460657115,49.49610057450351,66.9558285715995,25.85525340343084,56.51887523808669,Educational Instruction and Library,56,6593639.0,7019799.0,6.463198849679208,1.3235007396911413,56,480516.3139295943,468715.246295008,-2.45591404339196,0.6398166783879944,56,46778.0,65670.0,40.38650647740391,7.966103901348731,0.21883830781938615,0.20497001473679227,0.01386829308259388,44,6744330.0,7019799.0,4.084453162879043,1.0104563815796386,44,585514.045674073,468715.246295008,-19.948078144666958,-4.080224267981514,44,50177.0,65670.0,30.876696494409785,8.351356550869982,0.2057217365438665,0.1942441388442995,0.011477597699566994,32,6880802.0,7019799.0,2.020069753496756,0.6909486299532253,32,574430.0709803957,468715.246295008,-18.403428028230007,-3.9053429240407223,32,51939.0,65670.0,26.436781609195403,7.950327588577544,0.19081163047898406,0.18279722487470593,0.00801440560427813
27,41,2985.8999999999996,0.3973416582426561,0.17652285946213028,41.50442883519787,36.200241932153446,48.45310991650836,47.96515112530955,28.866772858427325,46.03686834359069,"Arts, Design, Entertainment, Sports, and Media",56,3421373.0,3563785.0,4.162422512833297,0.5570569169772499,56,656128.345406762,403252.4355741808,-38.54061657339505,-11.17735547185995,56,56799.0,75574.0,33.055159421820804,7.279992827841708,0.36161677550712923,0.3520983469475146,0.009518428559614656,44,3547918.0,3563785.0,0.4472200315790875,-0.040417948582149865,44,557109.6852488802,403252.4355741808,-27.617048087391627,-7.826974392247799,44,54362.0,75574.0,39.01990360913874,8.380049228396146,0.34273702502190473,0.34117871571799274,0.0015583093039119866,32,3587255.0,3563785.0,-0.6542607090937236,-0.4701755110094519,32,422755.0390094785,403252.4355741808,-4.613216079219928,0.6331700264041062,32,59089.0,75574.0,27.89859364687166,8.185695426506069,0.33056304094341193,0.33286894722458005,-0.002305906281168113
29,72,9889.8,0.25791157697373,0.05403062880117556,68.05750199273365,49.649734343416874,67.99058630760695,75.00838842766824,78.43429182418586,69.2045090607903,Healthcare Practitioners and Technical,56,10835204.0,11951372.0,10.301310432180145,2.114348704921798,56,2780309.535494324,2658024.1787449825,-4.398264120890394,-0.5183367258275506,56,84433.0,108665.0,28.699679035448234,2.86666082924234,0.23929620378590583,0.2176880388020194,0.02160816498388643,44,11157351.0,11951372.0,7.1165727420424485,1.8504317631554468,44,3461218.2053180425,2658024.1787449825,-23.20552992986632,-8.944699570843252,44,97822.0,108665.0,11.084418637934213,2.095879878189977,0.22334467942057898,0.20405196692062066,0.019292712499958314,32,11448468.0,11951372.0,4.392762420264451,1.6270798822576982,32,3750154.553593791,2658024.1787449825,-29.12227640864068,-16.49551266357906,32,96100.0,108665.0,13.074921956295515,2.049137393491929,0.20829699057024642,0.19149209158434927,0.016804898985897154
