onet_soc,title,description,soc2018,ilo_exposure_mean,ilo_exposure_min,ilo_exposure_max,ilo_isco_count,mapping_confidence,observed_exposure,Context,Interaction,Judgment,Physicality,Responsibility,hm_dimensions_available,HumanMoat_seed_equal_weight,HumanMoat_confidence,ILO_Exposure_Score,Anthropic_Observed_Exposure_Score,AI_Exposure_Composite_Descriptive,coverage_count,data_confidence,_soc6,2025 National Employment Matrix title,2025 National Employment Matrix code,Occupation type,"Employment, 2025","Employment, 2035","Employment distribution, percent, 2025","Employment distribution, percent, 2035","Employment change, numeric, 2025–35","Employment change, percent, 2025–35","Percent self-employed, 2025","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content,Related Occupational Outlook Handbook (OOH) content.1,"Labor force exit rate, 2025–35 annual average","Occupational transfer rate, 2025–35 annual average","Total occupational separations rate, 2025–35 annual average","Labor force exits, 2025–35 annual average","Occupational transfers, 2025–35 annual average","Total occupational separations, 2025–35 annual average","Occupational openings, 2025–35 annual average_sep",2025 National Employment Matrix title_skill,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading,Top highest skill,Second highest skill,Third highest skill,opening_rate_pct,growth_percentile,wage_percentile,opening_rate_percentile
11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",11-1011,0.3276919191919191,0.2304999999999999,0.3766666666666667,3,B,0.0333,95.02378338821808,85.75192096597146,96.56055616538602,34.74204171240395,75.8781558726674,5.0,77.59129162092938,A,32.76919191919191,3.3300000000000005,18.049595959595955,4,A,11-1011,      Chief executives,11-1011,Line item,291.6,300.9,0.2,0.2,9.3,3.2,26.6,19.1,213990,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/top-executives.htm"">OOH Content</a>",2.7,3.5,6.1,8.0,10.3,18.2,19.1,Chief executives,89.0,78.0,94.0,99.0,95.0,59.0,16.0,86.0,100.0,90.0,31.0,17.0,100.0,100.0,54.0,97.0,95.0,Problem solving and decision making,Leadership,Adaptability,6.550068587105624,54.03128760529483,97.33333333333334,19.855595667870034
11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",11-1011,0.3276919191919191,0.2304999999999999,0.3766666666666667,3,B,0.0333,59.659714599341385,68.14489571899011,69.11818514452982,19.09989023051592,37.07464324917673,5.0,50.6194657885108,A,32.76919191919191,3.3300000000000005,18.049595959595955,4,A,11-1011,      Chief executives,11-1011,Line item,291.6,300.9,0.2,0.2,9.3,3.2,26.6,19.1,213990,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/top-executives.htm"">OOH Content</a>",2.7,3.5,6.1,8.0,10.3,18.2,19.1,Chief executives,89.0,78.0,94.0,99.0,95.0,59.0,16.0,86.0,100.0,90.0,31.0,17.0,100.0,100.0,54.0,97.0,95.0,Problem solving and decision making,Leadership,Adaptability,6.550068587105624,54.03128760529483,97.33333333333334,19.855595667870034
11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",11-1021,0.4000783858998145,0.34375,0.4693181818181818,7,C,0.1378,91.89535309184048,86.20197585071351,89.00475667764363,30.625686059275523,60.455543358946215,5.0,71.63666300768388,A,40.007838589981446,13.78,26.893919294990724,4,A,11-1021,      General and operations managers,11-1021,Line item,3599.0,3780.3,2.1,2.1,181.3,5.0,0.8,285.0,105770,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/top-executives.htm"">OOH Content</a>",2.1,5.1,7.2,77.6,189.2,266.9,285.0,General and operations managers,81.0,58.0,78.0,78.0,79.0,40.0,16.0,78.0,96.0,72.0,38.0,32.0,96.0,99.0,46.0,71.0,77.0,Problem solving and decision making,Adaptability,Leadership,7.91886635176438,71.29963898916968,87.03030303030303,44.765342960288805
11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",11-1031,0.2718124999999999,0.2304999999999999,0.313125,2,B,0.0,,,,,,,,,27.181249999999995,0.0,13.590624999999998,3,B,11-1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",11-2011,0.38825,0.38825,0.38825,1,A,0.1731,68.71569703622393,63.611416026344685,78.3022319795097,32.619831686791066,44.182217343578486,5.0,57.48627881448958,A,38.825,17.31,28.067499999999995,4,A,11-2011,      Advertising and promotions managers,11-2011,Line item,33.2,31.9,0.0,0.0,-1.2,-3.7,35.1,2.3,133660,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm"">OOH Content</a>",2.3,5.2,7.5,0.7,1.7,2.4,2.3,Advertising and promotions managers,71.0,70.0,95.0,71.0,78.0,24.0,13.0,65.0,59.0,76.0,13.0,12.0,77.0,88.0,21.0,93.0,66.0,Adaptability,Speaking and listening,Problem solving and decision making,6.927710843373493,15.10228640192539,93.21212121212122,26.955475330926593
11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",11-2021,0.4121875,0.4121875,0.4121875,1,A,0.3195,79.29015733626052,64.48957189901208,61.74533479692645,23.874862788144892,79.33589462129528,5.0,61.74716428832784,A,41.21875,31.95,36.584375,4,A,11-2021,        Marketing managers,11-2021,Line item,421.6,450.8,0.2,0.3,29.1,6.9,5.3,34.0,166790,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm"">OOH Content</a>",1.9,5.2,7.1,8.2,22.9,31.1,34.0,Marketing managers,69.0,66.0,93.0,84.0,77.0,22.0,15.0,68.0,92.0,82.0,7.0,13.0,91.0,93.0,17.0,89.0,67.0,Problem solving and decision making,Adaptability,Speaking and listening,8.064516129032258,84.71720818291215,96.36363636363636,46.75090252707581
11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",11-2022,0.4121875,0.4121875,0.4121875,1,A,0.0433,71.82583241858764,84.09440175631174,73.96633735821443,14.233443102817418,41.90450054884742,5.0,57.20490303695573,A,41.21875,4.33,22.774375,4,A,11-2022,        Sales managers,11-2022,Line item,650.1,679.1,0.4,0.4,29.0,4.5,0.8,47.3,148270,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/sales-managers.htm"">OOH Content</a>",1.9,4.8,6.7,12.5,31.9,44.4,47.3,Sales managers,67.0,64.0,72.0,82.0,97.0,1.0,9.0,81.0,100.0,69.0,13.0,10.0,93.0,93.0,14.0,81.0,75.0,Leadership,Problem solving and decision making,Customer service,7.275803722504229,67.32851985559567,95.39393939393939,32.250300842358605
11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",11-2032,0.391861111111111,0.3683333333333333,0.4189999999999999,3,B,0.2315,65.9531650201244,72.33809001097696,71.05744603000365,12.605195755579947,54.967069154774975,5.0,55.384193194292,A,39.1861111111111,23.15,31.168055555555554,4,A,11-2032,        Public relations managers,11-2032,Line item,80.8,85.4,0.0,0.0,4.6,5.7,0.4,6.1,146910,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/public-relations-managers.htm"">OOH Content</a>",2.1,4.7,6.8,1.8,3.9,5.7,6.1,Public relations managers[1],76.0,53.0,91.0,68.0,84.0,51.0,4.0,72.0,82.0,13.0,3.0,10.0,75.0,85.0,12.0,98.0,85.0,Speaking and listening,Adaptability,Writing and reading,7.5495049504950495,77.13598074608905,94.9090909090909,38.02647412755716
11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",11-2033,0.391861111111111,0.3683333333333333,0.4189999999999999,3,B,,61.70874496889865,83.32601536772776,53.01866081229419,27.808269301134285,56.09220636663008,5.0,56.39077936333699,A,39.1861111111111,,39.1861111111111,3,B,11-2033,        Fundraising managers,11-2033,Line item,48.8,51.4,0.0,0.0,2.6,5.4,0.3,3.7,125470,Bachelor's degree,5 years or more,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/public-relations-managers.htm"">OOH Content</a>",2.1,4.7,6.8,1.1,2.4,3.4,3.7,Fundraising managers,69.0,54.0,77.0,64.0,74.0,50.0,12.0,77.0,66.0,73.0,7.0,19.0,77.0,90.0,7.0,91.0,69.0,Adaptability,Speaking and listening,Problem solving and decision making,7.581967213114756,74.18772563176896,91.75757575757576,38.628158844765345
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",11-3012,0.4189999999999999,0.4189999999999999,0.4189999999999999,1,A,0.0,59.80607391145261,75.14818880351262,55.41529454811562,56.71423344310282,46.40504939626784,5.0,58.6977680204903,A,41.899999999999984,0.0,20.949999999999992,4,A,11-3012,        Administrative services managers,11-3012,Line item,279.0,293.3,0.2,0.2,14.4,5.2,1,22.0,114130,Bachelor's degree,Less than 5 years,,OOH Content,"<a href=""https://www.bls.gov/ooh/management/administrative-services-managers.htm"">OOH Content</a>",2.9,4.2,7.2,8.4,12.1,20.5,22.0,Administrative services managers,74.0,66.0,66.0,69.0,71.0,40.0,24.0,71.0,91.0,58.0,47.0,34.0,59.0,99.0,23.0,66.0,72.0,Adaptability,Writing and reading,Leadership,7.885304659498208,72.86401925391095,89.33333333333333,44.163658243080626
