Variable,N,Mean,SD,P25,Median,P75,Min,Max
ilo_exposure_mean,840,0.2926073400900106,0.1339510418613647,0.1796428571428571,0.27625,0.3740909090909091,0.0886666666666666,0.7
observed_exposure,756,0.0769767195767195,0.1331715859271925,0.0,0.0,0.095675,0.0,0.7451
HM_equal_z,786,-3.796793244519619e-16,1.0006367399562734,-0.7345084727548944,-0.0321655836660585,0.6900751969779457,-2.527026562009747,2.406423207911196
HM_PCA1,786,3.6159935662091615e-17,1.6864841203176262,-1.2648219741664928,-0.0136179552466174,1.1267333159200832,-4.373623770711087,4.312721517392106
growth,819,0.0202527472527472,0.0724402011316809,-0.004,0.027,0.055,-0.344,0.41
opening_rate,819,0.0893559125243316,0.0353272256570747,0.0681818181818181,0.0824742268041237,0.1043317052832211,0.0,0.2802469135802469
log_wage,813,11.096263362956384,0.465688119651765,10.761725352961664,11.027442648876033,11.317883343766894,10.338187785912629,13.233958417960167
transfer,819,0.0505885225885225,0.0209728061239869,0.038,0.049,0.061,0.003,0.138
"Employment, 2025",819,195.4140415140415,442.9824830665625,16.25,50.2,160.2,0.2,3998.1
education_ord,819,2.3547008547008548,1.8908832238911293,1.0,1.0,4.0,0.0,6.0
self_emp,622,0.0968617363344051,0.1582060058046617,0.009,0.0284999999999999,0.1007499999999999,0.0,0.946
