outcome,dimension,std_beta,robust_se,p_value,n,r2,p_fdr_bh
growth,Physicality,0.0691199880519985,0.0678057712272747,0.3080216106551861,571,0.3722059560499724,0.4120133703763107
growth,Judgment,0.0317534423922011,0.0461909463669267,0.4918063409248697,571,0.3713557395566716,0.5464514899165219
growth,Interaction,0.056742288196011,0.0439774617995481,0.1969609656829012,571,0.3725456139469401,0.3030168702813864
growth,Responsibility,0.0715143861914993,0.0457669384346947,0.1181520144779202,571,0.3740868993272419,0.1969200241298671
growth,Context,0.0435271150634948,0.0455201469212707,0.338962871068636,571,0.3719689735572296,0.4237035888357949
opening_rate,Physicality,-0.0090691547149392,0.0550696315417708,0.8691917461584486,571,0.604992099498548,0.8691917461584486
opening_rate,Judgment,-0.1545600897290244,0.042454285111916,0.0002719780700551,571,0.6179060703758646,0.0013598903502759
opening_rate,Interaction,-0.040048046656936,0.0393669399203879,0.3090100277822331,571,0.6058328035118274,0.4120133703763107
opening_rate,Responsibility,-0.0838597992168817,0.0363719852798348,0.0211321476550801,571,0.6094744504936181,0.059905370797605
opening_rate,Context,-0.0943803203357427,0.0418030881543264,0.023962148319042,571,0.6104186486230969,0.059905370797605
log_wage,Physicality,-0.079426791536246,0.0425524722279181,0.061962897018933,566,0.7340827627448385,0.1126598127616964
log_wage,Judgment,0.1804418619214765,0.0281178283241636,1.386695851309842e-10,566,0.7499254122301688,2.7733917026196837e-09
log_wage,Interaction,0.0840014070885223,0.031064197661524,0.0068484961883336,566,0.736048998873478,0.0228283206277786
log_wage,Responsibility,0.1546704658917655,0.0286858972446223,6.973041131727007e-08,566,0.7476929421386365,6.973041131727007e-07
log_wage,Context,0.1202522788725273,0.0269361637401879,8.031474750187347e-06,566,0.7411219416847928,5.354316500124898e-05
transfer,Physicality,0.1083881335499577,0.0496025611733804,0.0288791845741289,571,0.6827855271462093,0.0641759657202865
transfer,Judgment,-0.1239202880246217,0.0366483163331649,0.0007213415865941,571,0.6876688835857374,0.0028853663463765
transfer,Interaction,0.0147557075192574,0.0335966953525772,0.6605157857283932,571,0.6794694521644626,0.6952797744509402
transfer,Responsibility,-0.0257948861386004,0.0334725421216428,0.4409273189593081,571,0.679778430280277,0.5187380223050684
transfer,Context,-0.0715788274626284,0.0342367995598319,0.0365550943670118,571,0.6824871454795509,0.0731101887340236
