soc6,title,ilo_exposure_mean,observed_exposure,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,HumanMoat_seed_equal_weight,"Employment change, percent, 2025–35","Median annual wage, dollars, 2025",mapping_confidence,bls_ai_mention,qa_status,qa_reason,interpretation_rule
43-4141,New Accounts Clerks,0.6395000000000001,0.0,99.40476190476193,27.24867724867725,-72.15608465608466,72.15608465608466,46.92499085254299,-6.5,47670.0,A,0,REVIEW,anthropic_zero; extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-6012,Legal Secretaries and Administrative Assistants,0.5503571428571429,0.0,94.64285714285714,27.24867724867725,-67.39417989417989,67.39417989417989,25.58470545188438,-5.2,55570.0,A,1,REVIEW,anthropic_zero; extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-2021,Telephone Operators,0.5372,0.0,93.51190476190476,27.24867724867725,-66.2632275132275,66.2632275132275,41.671057446030005,-27.6,41740.0,A,0,REVIEW,anthropic_zero; extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
21-2021,"Directors, Religious Activities and Education",0.1657777777777777,0.153,17.559523809523807,80.68783068783068,63.12830687830687,63.12830687830687,41.48664471276985,3.3,52100.0,A,0,REVIEW,extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-5051,Postal Service Clerks,0.494875,0.0,90.11904761904762,27.24867724867725,-62.87037037037037,62.87037037037037,37.752652762532016,-0.3,62130.0,B,0,REVIEW,anthropic_zero; extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
29-1131,Veterinarians,0.1419444444444444,0.0926,11.785714285714285,74.47089947089947,62.68518518518518,62.68518518518518,81.96267837541164,9.4,130100.0,A,0,REVIEW,extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
47-2221,Structural Iron and Steel Workers,0.1108333333333333,0.0491,4.166666666666666,66.66666666666666,62.49999999999999,62.49999999999999,42.78631540431759,3.1,62780.0,A,0,REVIEW,extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
51-9162,Computer Numerically Controlled Tool Programmers,0.1622727272727272,0.1207,16.30952380952381,78.17460317460318,61.86507936507937,61.86507936507937,49.93743139407245,5.9,68120.0,B,0,REVIEW,extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.1586904761904761,0.1083,15.95238095238095,77.11640211640211,61.164021164021165,61.164021164021165,76.26344676180022,4.0,58430.0,B,0,REVIEW,extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
43-5071,"Shipping, Receiving, and Inventory Clerks",0.47075,0.0,87.73809523809524,27.24867724867725,-60.48941798941799,60.48941798941799,51.54335894621296,-7.6,45260.0,B,0,REVIEW,anthropic_zero; extreme_gap_60plus,Do not publish as substantive case until occupation mapping and Anthropic coverage are manually confirmed.
