human_structure_metric,bls_skill,n,pearson_r,p_value,abs_r
Physicality,Adaptability,761,-0.4294449425226326,1.6875039608864435e-35,0.4294449425226326
Physicality,Computers and information technology,761,-0.6114799548411919,3.152048238420625e-79,0.6114799548411919
Physicality,Creativity and innovation,761,-0.36464357534441694,2.4047796252336664e-25,0.36464357534441694
Physicality,Critical and analytical thinking,761,-0.5129199201133581,2.7197688047448074e-52,0.5129199201133581
Physicality,Customer service,761,-0.11859709831005112,0.0010460336966271516,0.11859709831005112
Physicality,Detail oriented,761,0.22766769481667848,2.100707651350022e-10,0.22766769481667848
Physicality,Fine motor,761,0.7642674027989294,9.604456398092771e-147,0.7642674027989294
Physicality,Interpersonal,761,-0.25540056041605635,8.495417675328332e-13,0.25540056041605635
Physicality,Leadership,761,-0.03734761391539683,0.30350542356416915,0.03734761391539683
Physicality,Mathematics,761,-0.2862418858369635,8.115949055009875e-16,0.2862418858369635
Physicality,Mechanical,761,0.8087073750693258,4.259256196502314e-177,0.8087073750693258
Physicality,Physical strength and stamina,761,0.9138757684954716,2.328178132721154e-299,0.9138757684954716
Physicality,Problem solving and decision making,761,-0.2962869890362897,6.933246766050032e-17,0.2962869890362897
Physicality,Project management,761,-0.10268782485910576,0.004573791533657999,0.10268782485910576
Physicality,Science,761,0.2255621950659977,3.1046210556635123e-10,0.2255621950659977
Physicality,Speaking and listening,761,-0.6252280898320058,8.93976452571759e-84,0.6252280898320058
Physicality,Writing and reading,761,-0.6592362277644427,4.604024557350169e-96,0.6592362277644427
Judgment,Adaptability,761,0.6242183468510478,1.963605913652351e-83,0.6242183468510478
Judgment,Computers and information technology,761,0.40500785945214024,2.1011141935267114e-31,0.40500785945214024
Judgment,Creativity and innovation,761,0.38518861857476233,2.5291230600435224e-28,0.38518861857476233
Judgment,Critical and analytical thinking,761,0.5634024060119569,5.893401571839911e-65,0.5634024060119569
Judgment,Customer service,761,0.46798508295762126,1.1178443103136897e-42,0.46798508295762126
Judgment,Detail oriented,761,0.32619176217450047,2.5244580237011668e-20,0.32619176217450047
Judgment,Fine motor,761,-0.1818764971443029,4.389821536975553e-07,0.1818764971443029
Judgment,Interpersonal,761,0.47445385199661244,5.635002592767533e-44,0.47445385199661244
Judgment,Leadership,761,0.4883161016191252,7.5016450460333075e-47,0.4883161016191252
Judgment,Mathematics,761,0.26561690457879644,9.366257158317794e-14,0.26561690457879644
Judgment,Mechanical,761,-0.09407896559118922,0.00941024137632603,0.09407896559118922
Judgment,Physical strength and stamina,761,-0.21952670091748971,9.312171825412786e-10,0.21952670091748971
Judgment,Problem solving and decision making,761,0.8306983590167087,3.0336298304532295e-195,0.8306983590167087
Judgment,Project management,761,0.48968093700053755,3.8443620566542266e-47,0.48968093700053755
Judgment,Science,761,0.29316658101189313,1.5045018651419906e-16,0.29316658101189313
Judgment,Speaking and listening,761,0.5120600009593448,4.2881084630131335e-52,0.5120600009593448
Judgment,Writing and reading,761,0.5094738181714326,1.6732188443502996e-51,0.5094738181714326
Interaction,Adaptability,761,0.5858654359140351,2.5064430368935055e-71,0.5858654359140351
Interaction,Computers and information technology,761,0.2683957289617646,5.056520031994539e-14,0.2683957289617646
Interaction,Creativity and innovation,761,0.22233930215920214,5.603319623560589e-10,0.22233930215920214
Interaction,Critical and analytical thinking,761,0.2825187137702929,1.9704885130259384e-15,0.2825187137702929
Interaction,Customer service,761,0.7627716247027007,7.691509068050161e-146,0.7627716247027007
Interaction,Detail oriented,761,0.1319382960824451,0.00026258433552472406,0.1319382960824451
Interaction,Fine motor,761,-0.2763331274360068,8.353758683411892e-15,0.2763331274360068
Interaction,Interpersonal,761,0.7348197673309654,4.225773667903532e-130,0.7348197673309654
Interaction,Leadership,761,0.5429513731557237,1.448669656375131e-59,0.5429513731557237
Interaction,Mathematics,761,0.12636810943079474,0.00047529540002305215,0.12636810943079474
Interaction,Mechanical,761,-0.2417682977726625,1.389173030446516e-11,0.2417682977726625
Interaction,Physical strength and stamina,761,-0.12999434266079804,0.0003238619409100279,0.12999434266079804
Interaction,Problem solving and decision making,761,0.5180098150811158,1.7885186566219482e-53,0.5180098150811158
Interaction,Project management,761,0.4336714664599273,3.049290265768958e-36,0.4336714664599273
Interaction,Science,761,0.08245199725595569,0.022925444075602406,0.08245199725595569
Interaction,Speaking and listening,761,0.5437916107553802,8.846216097367837e-60,0.5437916107553802
Interaction,Writing and reading,761,0.361056309523367,7.575348805201503e-25,0.361056309523367
Responsibility,Adaptability,761,0.19147932200057335,1.0216152295044294e-07,0.19147932200057335
Responsibility,Computers and information technology,761,0.0074669556188798605,0.8370647801215927,0.0074669556188798605
Responsibility,Creativity and innovation,761,-0.16274098692216227,6.4175805636119255e-06,0.16274098692216227
Responsibility,Critical and analytical thinking,761,0.15437192874065808,1.8925583443161645e-05,0.15437192874065808
Responsibility,Customer service,761,0.24871571002913764,3.4148569475935726e-12,0.24871571002913764
Responsibility,Detail oriented,761,0.7391732200382721,2.0333736982804545e-132,0.7391732200382721
Responsibility,Fine motor,761,0.29840094900413633,4.07983784061036e-17,0.29840094900413633
Responsibility,Interpersonal,761,0.154621167936517,1.8340340157842778e-05,0.154621167936517
Responsibility,Leadership,761,0.24441708673500132,8.17778685527291e-12,0.24441708673500132
Responsibility,Mathematics,761,0.14829800038151442,4.008533078356592e-05,0.14829800038151442
Responsibility,Mechanical,761,0.34262540812130554,2.195521168678593e-22,0.34262540812130554
Responsibility,Physical strength and stamina,761,0.26683427529402687,7.155951603863665e-14,0.26683427529402687
Responsibility,Problem solving and decision making,761,0.4673267286775098,1.50966805946779e-42,0.4673267286775098
Responsibility,Project management,761,0.16226191945587848,6.8376164824918354e-06,0.16226191945587848
Responsibility,Science,761,0.31556355599530483,4.67128156550161e-19,0.31556355599530483
Responsibility,Speaking and listening,761,-0.013174409347634487,0.7167164934477229,0.013174409347634487
Responsibility,Writing and reading,761,0.03194940352285525,0.37878377665265633,0.03194940352285525
Context,Adaptability,761,0.5702206824388603,7.73057127176004e-67,0.5702206824388603
Context,Computers and information technology,761,0.24183759098123125,1.3701589400196228e-11,0.24183759098123125
Context,Creativity and innovation,761,0.19301602133229354,8.033595816540844e-08,0.19301602133229354
Context,Critical and analytical thinking,761,0.3346308817767435,2.2884008211906618e-21,0.3346308817767435
Context,Customer service,761,0.6368959313948241,8.120437442586577e-88,0.6368959313948241
Context,Detail oriented,761,0.2971665517745767,5.563517070130471e-17,0.2971665517745767
Context,Fine motor,761,-0.156799012601452,1.3909283789236785e-05,0.156799012601452
Context,Interpersonal,761,0.5741881030276754,5.923938918670673e-68,0.5741881030276754
Context,Leadership,761,0.41950904384792564,8.572588197733495e-34,0.41950904384792564
Context,Mathematics,761,0.11507550043813516,0.0014735128281393188,0.11507550043813516
Context,Mechanical,761,-0.12857168949818604,0.00037690877719007046,0.12857168949818604
Context,Physical strength and stamina,761,-0.10268362982294654,0.004575459411090528,0.10268362982294654
Context,Problem solving and decision making,761,0.6692317265564955,5.492371194138623e-100,0.6692317265564955
Context,Project management,761,0.33732816055604214,1.045660540568673e-21,0.33732816055604214
Context,Science,761,0.12826581191526343,0.00038932584599031127,0.12826581191526343
Context,Speaking and listening,761,0.4672180286259946,1.5863566715231972e-42,0.4672180286259946
Context,Writing and reading,761,0.35436151568393404,6.203055790581097e-24,0.35436151568393404
HumanMoat_seed_equal_weight,Adaptability,761,0.3912102359821811,3.083708258449423e-29,0.3912102359821811
HumanMoat_seed_equal_weight,Computers and information technology,761,0.04048788962107201,0.26462353678403167,0.04048788962107201
HumanMoat_seed_equal_weight,Creativity and innovation,761,0.03919973903650753,0.2801375051604109,0.03919973903650753
HumanMoat_seed_equal_weight,Critical and analytical thinking,761,0.190923966614422,1.1137828735119478e-07,0.190923966614422
HumanMoat_seed_equal_weight,Customer service,761,0.5377218166171563,3.02469846965501e-58,0.5377218166171563
HumanMoat_seed_equal_weight,Detail oriented,761,0.5121331062296928,4.125509198933189e-52,0.5121331062296928
HumanMoat_seed_equal_weight,Fine motor,761,0.18772760587538648,1.8220661972355752e-07,0.18772760587538648
HumanMoat_seed_equal_weight,Interpersonal,761,0.43928970034005554,3.0205944612770707e-37,0.43928970034005554
HumanMoat_seed_equal_weight,Leadership,761,0.4521145410532812,1.3071794090778006e-39,0.4521145410532812
HumanMoat_seed_equal_weight,Mathematics,761,0.08564846614135668,0.018118968157542707,0.08564846614135668
HumanMoat_seed_equal_weight,Mechanical,761,0.25683862376532524,6.264765487483166e-13,0.25683862376532524
HumanMoat_seed_equal_weight,Physical strength and stamina,761,0.27179247760028424,2.3569886963734564e-14,0.27179247760028424
HumanMoat_seed_equal_weight,Problem solving and decision making,761,0.5866188898695689,1.5019712601926944e-71,0.5866188898695689
HumanMoat_seed_equal_weight,Project management,761,0.35322971018422095,8.807357985403076e-24,0.35322971018422095
HumanMoat_seed_equal_weight,Science,761,0.31018083648193007,1.959259621212935e-18,0.31018083648193007
HumanMoat_seed_equal_weight,Speaking and listening,761,0.1918234665156433,9.682457572143246e-08,0.1918234665156433
HumanMoat_seed_equal_weight,Writing and reading,761,0.11483864742404158,0.0015073671048487307,0.11483864742404158
