soc6,title,ilo_exposure_mean,observed_exposure,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,HumanMoat_seed_equal_weight,"Employment change, percent, 2025–35","Median annual wage, dollars, 2025"
43-4141,New Accounts Clerks,0.6395000000000001,0.0,99.40476190476191,27.24867724867725,-72.15608465608466,72.15608465608466,46.92499085254299,-6.5,47670.0
43-6012,Legal Secretaries and Administrative Assistants,0.5503571428571429,0.0,94.64285714285714,27.24867724867725,-67.39417989417989,67.39417989417989,25.58470545188438,-5.2,55570.0
43-2021,Telephone Operators,0.5372,0.0,93.51190476190476,27.24867724867725,-66.2632275132275,66.2632275132275,41.671057446030005,-27.6,41740.0
21-2021,"Directors, Religious Activities and Education",0.1657777777777777,0.153,17.559523809523807,80.68783068783068,63.12830687830687,63.12830687830687,41.48664471276985,3.3,52100.0
43-5051,Postal Service Clerks,0.494875,0.0,90.11904761904762,27.24867724867725,-62.87037037037037,62.87037037037037,37.752652762532016,-0.3,62130.0
29-1131,Veterinarians,0.1419444444444444,0.0926,11.785714285714285,74.47089947089947,62.68518518518518,62.68518518518518,81.96267837541164,9.4,130100.0
47-2221,Structural Iron and Steel Workers,0.1108333333333333,0.0491,4.166666666666666,66.66666666666666,62.49999999999999,62.49999999999999,42.78631540431759,3.1,62780.0
51-9162,Computer Numerically Controlled Tool Programmers,0.1622727272727272,0.1207,16.30952380952381,78.17460317460318,61.86507936507937,61.86507936507937,49.93743139407245,5.9,68120.0
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.1586904761904761,0.1083,15.95238095238095,77.11640211640211,61.164021164021165,61.164021164021165,76.26344676180022,4.0,58430.0
43-5071,"Shipping, Receiving, and Inventory Clerks",0.47075,0.0,87.73809523809524,27.24867724867725,-60.48941798941799,60.48941798941799,51.54335894621296,-7.6,45260.0
21-2011,Clergy,0.1657777777777777,0.1116,17.559523809523807,77.38095238095238,59.82142857142857,59.82142857142857,55.924990852543,2.4,60810.0
13-1032,"Insurance Appraisers, Auto Damage",0.449,0.0,86.72619047619048,27.24867724867725,-59.47751322751323,59.47751322751323,70.63007683863886,-8.7,78240.0
13-1075,Labor Relations Specialists,0.448,0.0,86.36904761904762,27.24867724867725,-59.12037037037037,59.12037037037037,47.2085620197585,2.1,95420.0
39-1013,First-Line Supervisors of Gambling Services Workers,0.446,0.0,85.95238095238096,27.24867724867725,-58.70370370370371,58.70370370370371,56.70837907061836,3.5,63820.0
39-3012,Gambling and Sports Book Writers and Runners,0.446,0.0,85.95238095238096,27.24867724867725,-58.70370370370371,58.70370370370371,23.99268203439444,1.8,34980.0
39-3011,Gambling Dealers,0.446,0.0,85.95238095238096,27.24867724867725,-58.70370370370371,58.70370370370371,38.42188071716063,3.4,34320.0
47-2061,Construction Laborers,0.0939166666666666,0.0281,1.4285714285714286,59.85449735449735,58.42592592592592,58.42592592592592,54.28686425173801,7.3,47120.0
13-1051,Cost Estimators,0.445,0.0,85.41666666666666,27.24867724867725,-58.1679894179894,58.1679894179894,28.80607391145262,-3.1,78740.0
47-2132,"Insulation Workers, Mechanical",0.1270833333333333,0.0439,7.202380952380952,65.21164021164022,58.00925925925927,58.00925925925927,49.34504207830223,5.1,58340.0
51-9198,Helpers--Production Workers,0.12,0.0393,5.714285714285714,63.35978835978836,57.645502645502646,57.645502645502646,46.60958653494328,-8.2,39070.0
31-2012,Occupational Therapy Aides,0.1504166666666666,0.0661,13.988095238095239,70.63492063492063,56.64682539682539,56.64682539682539,57.590559824368825,3.6,39160.0
37-2021,Pest Control Workers,0.1332142857142857,0.046,9.107142857142856,65.60846560846561,56.50132275132275,56.50132275132275,67.95682400292718,5.5,45250.0
11-9131,Postmasters and Mail Superintendents,0.4189999999999999,0.0,83.03571428571429,27.24867724867725,-55.78703703703704,55.78703703703704,65.65605561653861,-0.3,96660.0
11-3012,Administrative Services Managers,0.4189999999999999,0.0,83.03571428571429,27.24867724867725,-55.78703703703704,55.78703703703704,58.6977680204903,5.2,114130.0
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",0.4075,0.0,81.66666666666667,27.24867724867725,-54.41798941798942,54.41798941798942,59.89718258324185,-7.2,39280.0
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",0.4075,0.0,81.66666666666667,27.24867724867725,-54.41798941798942,54.41798941798942,27.386754482253927,-5.3,58470.0
43-5052,Postal Service Mail Carriers,0.4075,0.0,81.66666666666667,27.24867724867725,-54.41798941798942,54.41798941798942,43.75923893157702,-0.3,60550.0
19-1041,Epidemiologists,0.396875,0.0,80.47619047619048,27.24867724867725,-53.22751322751323,53.22751322751323,39.41126966703256,18.7,87220.0
19-1012,Food Scientists and Technologists,0.396875,0.0,80.47619047619048,27.24867724867725,-53.22751322751323,53.22751322751323,46.47822905232344,6.2,88720.0
19-1011,Animal Scientists,0.396875,0.0,80.47619047619048,27.24867724867725,-53.22751322751323,53.22751322751323,53.20197585071351,5.8,68940.0
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.1128369227994227,0.0203,4.404761904761905,57.53968253968254,53.13492063492063,53.13492063492063,26.44163922429565,-2.4,35660.0
41-2012,Gambling Change Persons and Booth Cashiers,0.394375,0.0,79.82142857142858,27.24867724867725,-52.57275132275133,52.57275132275133,51.095865349432856,-1.9,36220.0
