window,predictor,outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
common_2022,ilo_exposure_mean_weighted,employment_common_2022_annualized_pct,22,0.3438650749893572,0.11712696632343969,0.3675889328063242,0.09237156874416969
common_2022,ilo_exposure_mean_weighted,postings_common_2022_annualized_pct,22,-0.3553957616152454,0.10455740567425055,-0.3596837944664032,0.10014490036970848
common_2022,ilo_exposure_mean_weighted,salary_common_2022_annualized_pct,22,0.3104416218376363,0.15968564114717926,0.2862789384528515,0.19648801204618047
common_2022,ilo_exposure_mean_weighted,rl_hiring_rate_common_2022_mean,22,0.6743376602330537,0.0005780368494172267,0.7097684923771881,0.0002157367668533585
common_2022,ilo_exposure_mean_weighted,rl_attrition_rate_common_2022_mean,22,0.6740197104045784,0.0005828277777501658,0.7199322416713722,0.0001583443270363374
common_2022,ilo_exposure_mean_weighted,net_hiring_rate_common_2022_mean,22,0.40414472533106977,0.06211920068178807,0.45793337097684933,0.032101576359682096
common_2022,observed_exposure_weighted,employment_common_2022_annualized_pct,22,0.2194007969000421,0.3265760861649453,0.4409937888198759,0.0399399990443038
common_2022,observed_exposure_weighted,postings_common_2022_annualized_pct,22,-0.326057095997298,0.1386351188369916,-0.101072840203275,0.6544778869223147
common_2022,observed_exposure_weighted,salary_common_2022_annualized_pct,22,0.30491634702736203,0.1676411477752857,0.4285714285714286,0.04658379774023283
common_2022,observed_exposure_weighted,rl_hiring_rate_common_2022_mean,22,0.5090866746606927,0.015529951947800174,0.6781479390175044,0.0005231963508242365
common_2022,observed_exposure_weighted,rl_attrition_rate_common_2022_mean,22,0.515036547339468,0.014171576513199348,0.6804065499717675,0.0004928449412886883
common_2022,observed_exposure_weighted,net_hiring_rate_common_2022_mean,22,0.2719370490120822,0.22084689420993067,0.5019762845849802,0.01728981077110097
common_2022,HumanMoat_seed_equal_weight_weighted,employment_common_2022_annualized_pct,22,-0.02321250770460179,0.9183325463804032,-0.11462450592885377,0.6115002138101083
common_2022,HumanMoat_seed_equal_weight_weighted,postings_common_2022_annualized_pct,22,0.41536022232153547,0.054558705808080914,0.43534726143421804,0.042861326301676765
common_2022,HumanMoat_seed_equal_weight_weighted,salary_common_2022_annualized_pct,22,0.41019846750353983,0.057945048131939715,0.3845285149632976,0.07723123524797192
common_2022,HumanMoat_seed_equal_weight_weighted,rl_hiring_rate_common_2022_mean,22,-0.08695338626051041,0.7004072395824668,-0.16996047430830044,0.44954166436454235
common_2022,HumanMoat_seed_equal_weight_weighted,rl_attrition_rate_common_2022_mean,22,-0.08335323673004826,0.7122895310528875,-0.2173913043478261,0.3311374194883425
common_2022,HumanMoat_seed_equal_weight_weighted,net_hiring_rate_common_2022_mean,22,-0.07118508942744216,0.7529153945758148,-0.145115753811406,0.5193505321771542
post_chatgpt_2023,ilo_exposure_mean_weighted,employment_post_chatgpt_2023_annualized_pct,22,0.3284843648767784,0.13554946598103126,0.36645962732919257,0.09345377564913727
post_chatgpt_2023,ilo_exposure_mean_weighted,postings_post_chatgpt_2023_annualized_pct,22,0.2028169009079027,0.3653459047555429,0.12478825522303785,0.5800486861512529
post_chatgpt_2023,ilo_exposure_mean_weighted,salary_post_chatgpt_2023_annualized_pct,22,0.3757861026873879,0.08479259906893838,0.43534726143421804,0.042861326301676765
post_chatgpt_2023,ilo_exposure_mean_weighted,rl_hiring_rate_post_chatgpt_2023_mean,22,0.6679627241157332,0.0006808180932343443,0.7097684923771881,0.0002157367668533585
post_chatgpt_2023,ilo_exposure_mean_weighted,rl_attrition_rate_post_chatgpt_2023_mean,22,0.6717448279979745,0.0006181095545737754,0.7300959909655563,0.00011467308780707241
post_chatgpt_2023,ilo_exposure_mean_weighted,net_hiring_rate_post_chatgpt_2023_mean,22,0.33511479360429586,0.12737053458133948,0.36645962732919257,0.09345377564913727
post_chatgpt_2023,observed_exposure_weighted,employment_post_chatgpt_2023_annualized_pct,22,0.2156996087417802,0.3350066976119536,0.4568040654997177,0.03258298091373665
post_chatgpt_2023,observed_exposure_weighted,postings_post_chatgpt_2023_annualized_pct,22,0.3124785878078414,0.15682033376834836,0.3675889328063242,0.09237156874416969
post_chatgpt_2023,observed_exposure_weighted,salary_post_chatgpt_2023_annualized_pct,22,0.40009409485119035,0.06503770044179187,0.5765104460756635,0.0049774655284407525
post_chatgpt_2023,observed_exposure_weighted,rl_hiring_rate_post_chatgpt_2023_mean,22,0.501609130949477,0.017384883807497798,0.6781479390175044,0.0005231963508242365
post_chatgpt_2023,observed_exposure_weighted,rl_attrition_rate_post_chatgpt_2023_mean,22,0.5110455178254669,0.015071559796444303,0.6860530773574253,0.0004234939304195543
post_chatgpt_2023,observed_exposure_weighted,net_hiring_rate_post_chatgpt_2023_mean,22,0.21650980165779798,0.3331502689506736,0.4568040654997177,0.03258298091373665
post_chatgpt_2023,HumanMoat_seed_equal_weight_weighted,employment_post_chatgpt_2023_annualized_pct,22,0.01927250666708204,0.9321604324958961,-0.07058159232072277,0.7549478236684113
post_chatgpt_2023,HumanMoat_seed_equal_weight_weighted,postings_post_chatgpt_2023_annualized_pct,22,0.10008778726830801,0.6576455946168268,0.03896103896103897,0.8633265562067404
post_chatgpt_2023,HumanMoat_seed_equal_weight_weighted,salary_post_chatgpt_2023_annualized_pct,22,0.31562343262727066,0.15246755149385827,0.30208921513269343,0.17181616844364878
post_chatgpt_2023,HumanMoat_seed_equal_weight_weighted,rl_hiring_rate_post_chatgpt_2023_mean,22,-0.06298426522713316,0.7806636518346421,-0.16996047430830044,0.44954166436454235
post_chatgpt_2023,HumanMoat_seed_equal_weight_weighted,rl_attrition_rate_post_chatgpt_2023_mean,22,-0.0716393220020783,0.7513866923728603,-0.1902879728966686,0.3963148931359526
post_chatgpt_2023,HumanMoat_seed_equal_weight_weighted,net_hiring_rate_post_chatgpt_2023_mean,22,0.012616736427641046,0.9555605886056422,-0.07058159232072277,0.7549478236684113
recent_2024,ilo_exposure_mean_weighted,employment_recent_2024_annualized_pct,22,0.3371205649380948,0.12496764445401175,0.37436476566911353,0.08607231632476404
recent_2024,ilo_exposure_mean_weighted,postings_recent_2024_annualized_pct,22,0.40934284309987967,0.0585215965859365,0.32467532467532473,0.14041381301499195
recent_2024,ilo_exposure_mean_weighted,salary_recent_2024_annualized_pct,22,0.2810874665829797,0.20508586283148772,0.2783738001129306,0.20967898109480362
recent_2024,ilo_exposure_mean_weighted,rl_hiring_rate_recent_2024_mean,22,0.6821146986036168,0.00047090608781591724,0.72557876905703,0.000132584206218782
recent_2024,ilo_exposure_mean_weighted,rl_attrition_rate_recent_2024_mean,22,0.6825092684816413,0.00046595933587335013,0.723320158102767,0.00014241512144117101
recent_2024,ilo_exposure_mean_weighted,net_hiring_rate_recent_2024_mean,22,0.3612035221508135,0.09861441232624919,0.4138904573687183,0.05550702963051303
recent_2024,observed_exposure_weighted,employment_recent_2024_annualized_pct,22,0.23131364263945917,0.3003148682380023,0.4760022586109543,0.02513536425492372
recent_2024,observed_exposure_weighted,postings_recent_2024_annualized_pct,22,0.4392490617376501,0.04082551475902579,0.3630717108977979,0.09675668043236259
recent_2024,observed_exposure_weighted,salary_recent_2024_annualized_pct,22,0.3344351095205669,0.1281922580360729,0.4635798983625071,0.029778209241076485
recent_2024,observed_exposure_weighted,rl_hiring_rate_recent_2024_mean,22,0.5166358389127249,0.01382342917942321,0.7041219649915303,0.00025478816014572745
recent_2024,observed_exposure_weighted,rl_attrition_rate_recent_2024_mean,22,0.5213675931119488,0.012833929118412284,0.6804065499717675,0.0004928449412886883
recent_2024,observed_exposure_weighted,net_hiring_rate_recent_2024_mean,22,0.24954994529845748,0.2627120575592674,0.5166572557876906,0.013818814648198079
recent_2024,HumanMoat_seed_equal_weight_weighted,employment_recent_2024_annualized_pct,22,0.037388418210212916,0.8687961059718553,-0.0536420101637493,0.8125892965812409
